1:0:1:7478:3F0:1:C00000:0:0:0:	#0
1:0:19:788C:414:1:C00000:0:0:0:	#0 HD
1:0:1:7606:408:1:C00000:0:0:0:	#VAMOS
1:0:1:760C:408:1:C00000:0:0:0:	#VAMOS
1:0:19:74CE:3F8:1:C00000:0:0:0:	#VAMOSHD
1:0:19:74D6:3F8:1:C00000:0:0:0:	#VAMOSHD
1:0:1:300:7:85:C00000:0:0:0:	.
1:0:1:1F:10:85:C00000:0:0:0:	.
1:0:1:4E2B:43A:1:C00000:0:0:0:	.
1:0:1:38:F:85:C00000:0:0:0:	.
1:0:1:3B:F:85:C00000:0:0:0:	.
1:0:1:48:7:85:C00000:0:0:0:	.
1:0:1:125E:3F7:1:C00000:0:0:0:	.
1:0:1:4462:453:1:C00000:0:0:0:	.
1:0:1:1266:3F7:1:C00000:0:0:0:	.
1:0:1:1267:3F7:1:C00000:0:0:0:	.
1:0:1:126A:3F7:1:C00000:0:0:0:	.
1:0:1:126B:3F7:1:C00000:0:0:0:	.
1:0:1:126C:3F7:1:C00000:0:0:0:	.
1:0:1:126D:3F7:1:C00000:0:0:0:	.
1:0:1:75FB:408:1:C00000:0:0:0:	.
1:0:16:1523:455:1:C00000:0:0:0:	.
1:0:16:1524:455:1:C00000:0:0:0:	.
1:0:16:26:F:85:C00000:0:0:0:	.
1:0:16:39:F:85:C00000:0:0:0:	.
1:0:16:3A:F:85:C00000:0:0:0:	.
1:0:19:37:F:85:C00000:0:0:0:	.
1:0:19:1268:3F7:1:C00000:0:0:0:	.
1:0:19:8D:9:85:C00000:0:0:0:	.
1:0:19:8E:9:85:C00000:0:0:0:	.
1:0:19:14B6:407:1:C00000:0:0:0:	.
1:0:19:14B8:407:1:C00000:0:0:0:	.
1:0:19:17D4:C91:3:EB0000:0:0:0:	.
1:0:19:30D5:413:1:C00000:0:0:0:	.
1:0:1:126E:3F7:1:C00000:0:0:0:	.1.
1:0:1:126F:3F7:1:C00000:0:0:0:	.2.
1:0:1:1270:3F7:1:C00000:0:0:0:	.3.
1:0:1:296:5:85:C00000:0:0:0:	1-2-3.tv
1:0:19:157E:41F:1:C00000:0:0:0:	1-2-3.tv HD
1:0:1:41A:0:1:EB2D7C:0:0:0:	1050 - WAWA Kielce
1:0:1:42E:0:1:EB2D7C:0:0:0:	1070 - WAWA Krakow
1:0:1:7853:41A:1:C00000:0:0:0:	10729V SID 0x7853
1:0:1:75F4:422:1:C00000:0:0:0:	10847V SID 0x75f4
